DATE,B
07/03/1997,7.4
07/03/1997,6.2
07/03/1997,6.5
07/03/1997,4.9
10/15/1997,2
10/15/1997,1.8
10/15/1997,1.2
10/15/1997,10.3
10/15/1997,4.5
10/15/1997,3.8
01/06/1998,6.8
01/06/1998,7.4
01/06/1998,5.6
01/06/1998,5.4
01/06/1998,2.9
01/06/1998,8
04/03/1998,1.6
04/03/1998,1.1
04/03/1998,3.2
04/03/1998,8.5
04/03/1998,7.9
04/03/1998,12.1
07/08/1998,3.7
07/08/1998,3.2
07/08/1998,3.6
07/08/1998,5.8
07/08/1998,8.6
07/08/1998,10.2
10/15/1998,1.2
10/15/1998,1.1
10/15/1998,1.7
10/15/1998,5.4
10/15/1998,3.8
10/15/1998,4.9
01/08/1999,3.4
01/08/1999,3.5
01/08/1999,2.5
01/08/1999,10.4
01/08/1999,10.3
01/08/1999,8.5
04/05/1999,4
04/05/1999,3.8
04/05/1999,3.5
04/05/1999,5.9
04/05/1999,6.5
04/05/1999,3.5
07/06/1999,2.3
07/06/1999,2.9
07/06/1999,2.1
07/06/1999,5.3
07/06/1999,5.9
07/06/1999,6.4
10/29/1999,1
10/29/1999,1.3
10/29/1999,1.9
10/29/1999,3.3
10/29/1999,8
10/29/1999,4
01/27/2000,4.2
01/27/2000,4.3
01/27/2000,5.4
01/27/2000,17.4
01/27/2000,14
01/27/2000,13.3
04/13/2000,8.4
04/13/2000,3.2
04/13/2000,1
04/13/2000,7.1
04/13/2000,5.4
04/13/2000,6.4
07/06/2000,0.9
07/06/2000,0.8
07/06/2000,1.6
07/06/2000,9.5
07/06/2000,13.2
07/06/2000,4
10/05/2000,0.9
10/05/2000,1
10/05/2000,1.2
10/05/2000,2.9
10/05/2000,2.6
10/05/2000,4.2
01/05/2001,1
01/05/2001,3
01/05/2001,2.2
01/05/2001,18.5
01/05/2001,18.6
01/05/2001,20.5
04/05/2001,1.3
04/05/2001,1
04/05/2001,1
04/05/2001,14.7
04/05/2001,13
04/05/2001,16.1
07/13/2001,1.9
07/13/2001,2.3
07/13/2001,1.9
07/13/2001,6.8
07/13/2001,3.1
07/13/2001,4.1
10/02/2001,0.5
10/02/2001,1.2
10/02/2001,0.4
10/02/2001,5
10/02/2001,4.6
10/02/2001,2.8
01/04/2002,0.9
01/04/2002,2.7
01/04/2002,2.1
01/04/2002,9.7
01/04/2002,6.9
01/04/2002,2.5
04/02/2002,6.1
04/02/2002,3.7
04/02/2002,3.7
04/02/2002,8.3
04/02/2002,8.2
04/02/2002,10.8
07/06/2002,2.3
07/06/2002,1.9
07/06/2002,2.3
07/06/2002,13.9
07/06/2002,12
07/06/2002,9.4
10/02/2002,1.4
10/02/2002,0.2
10/02/2002,0.7
10/02/2002,0.7
10/02/2002,0.7
10/02/2002,1.2
01/15/2003,0.4
01/15/2003,0.9
01/15/2003,0.7
01/15/2003,0.3
01/15/2003,1.3
01/15/2003,0.4
04/02/2003,0.7
04/02/2003,1.1
04/02/2003,1.1
