Date,ddin,ddon
04/25/2014,0.140081173,0.6663967
04/26/2014,0.140676116,0.667374458
04/27/2014,0.141271059,0.668352215
04/28/2014,0.141866002,0.669329973
04/29/2014,0.142460946,0.670307731
04/30/2014,0.143055889,0.671285488
05/01/2014,0.143650832,0.672263246
05/02/2014,0.144245776,0.673241004
05/03/2014,0.144840719,0.674218762
05/04/2014,0.145435662,0.675196519
05/05/2014,0.146030605,0.676174277
05/06/2014,0.146625549,0.677152035
05/07/2014,0.147220492,0.678129792
05/08/2014,0.147815435,0.67910755
05/09/2014,0.147786053,0.680984208
05/10/2014,0.086864088,0.721774343
05/11/2014,0.149600265,0.682040823
05/12/2014,0.142871211,0.693332776
05/13/2014,0.046177498,0.4502857
05/14/2014,0.144379831,0.694701291
05/15/2014,0.151980038,0.685951854
05/16/2014,0.152574982,0.686929612
05/17/2014,0.153169925,0.687907369
05/18/2014,0.15346653,0.68763524
05/19/2014,0.153265906,0.685279966
05/20/2014,0.153065282,0.682924692
05/21/2014,0.152864657,0.680569418
05/22/2014,0.152664033,0.678214144
05/23/2014,0.152463409,0.675858869
05/24/2014,0.152262784,0.673503595
05/25/2014,0.15206216,0.671148321
05/26/2014,0.151861536,0.668793047
05/27/2014,0.151660912,0.666437773
05/28/2014,0.058722819,0.644465402
05/29/2014,0.133372262,0.683337081
05/30/2014,0.151059039,0.65937195
05/31/2014,0.150858414,0.657016676
06/01/2014,0.036797238,0.732488601
06/02/2014,0.026021892,0.785240522
06/03/2014,0.029160297,0.77874543
06/04/2014,0.033006262,0.752031734
06/05/2014,0.034139759,0.736912004
06/06/2014,0.034470023,0.737369218
06/07/2014,0.034478658,0.743600843
06/08/2014,0.03442615,0.750909582
06/09/2014,0.034199135,0.761294542
06/10/2014,0.033050158,0.787490746
06/11/2014,0.031763916,0.817423121
06/12/2014,0.031977404,0.818475623
06/13/2014,0.031875812,0.825918039
06/14/2014,0.031883987,0.831228735
06/15/2014,0.031675513,0.841317321
06/16/2014,0.03131966,0.854974644
06/17/2014,0.031101504,0.864517912
06/18/2014,0.029940218,0.884931801
06/19/2014,0.027181645,0.979892873
06/20/2014,0.027581007,1.201440513
06/21/2014,0.028988125,1.35541544
06/22/2014,0.028422407,1.379408058
06/23/2014,0.029706667,1.416370055
06/24/2014,0.136575783,0.592680368
06/25/2014,0.13572502,0.589788804
06/26/2014,0.030804053,0.928918267
06/27/2014,0.035115301,0.82116751
06/28/2014,0.035760815,0.808848713
06/29/2014,0.03614222,0.803165093
06/30/2014,0.036259726,0.80452083
07/01/2014,0.036278034,0.808657674
07/02/2014,0.036444939,0.808571766
07/03/2014,0.036765807,0.806600548
07/04/2014,0.036991717,0.808265602
07/05/2014,0.037230037,0.809556187
07/06/2014,0.037397979,0.812990071
07/07/2014,0.037436316,0.820497813
07/08/2014,0.037624598,0.823451257
07/09/2014,0.037839638,0.825585912
07/10/2014,0.036783095,0.869430246
07/11/2014,0.034645159,0.957608823
07/12/2014,0.035228619,1.48058496
07/13/2014,0.061318677,0.622349498
07/14/2014,0.111648047,0.561428119
07/15/2014,0.055664623,0.650601159
07/16/2014,0.114077026,0.556492178
07/17/2014,0.112951211,0.555595249
07/18/2014,0.111825395,0.554698319
07/19/2014,0.11069958,0.553801389
07/20/2014,0.109573765,0.55290446
07/21/2014,0.10844795,0.55200753
07/22/2014,0.107322134,0.5511106
07/23/2014,0.106196319,0.550213671
07/24/2014,0.105070504,0.549316741
07/25/2014,0.103944688,0.548419811
07/26/2014,0.102526642,0.54829334
07/27/2014,0.101089113,0.548218233
07/28/2014,0.099651584,0.548143126
07/29/2014,0.098214055,0.548068018
07/30/2014,0.096776527,0.547992911
07/31/2014,0.095338998,0.547917804
08/01/2014,0.093901469,0.547842697
08/02/2014,0.048884598,0.634032876
08/03/2014,0.047204731,1.692622985
08/04/2014,0.047547361,0.617077413
08/05/2014,0.048259018,0.655061785
08/06/2014,0.086713825,0.54746716
08/07/2014,0.085276296,0.547392053
08/08/2014,0.083838768,0.547316946
08/09/2014,0.082401239,0.547241838
08/10/2014,0.08096371,0.547166731
08/11/2014,0.079526181,0.547091624
08/12/2014,0.078088652,0.547016517
08/13/2014,0.076651124,0.546941409
08/14/2014,0.075213595,0.546866302
08/15/2014,0.073776066,0.546791195
08/16/2014,0.072338537,0.546716088
08/17/2014,0.070944017,0.546568308
08/18/2014,0.069850551,0.545911824
08/19/2014,0.068757086,0.54525534
08/20/2014,0.06766362,0.544598856
08/21/2014,0.066570155,0.543942372
08/22/2014,0.065476689,0.543285888
08/23/2014,0.064383224,0.542629404
08/24/2014,0.063289758,0.54197292
08/25/2014,0.056085117,0.550971938
08/26/2014,0.042051927,0.577479972
08/27/2014,0.060009362,0.540003468
08/28/2014,0.058915896,0.539346984
08/29/2014,0.057822431,0.5386905
08/30/2014,0.056728965,0.538034016
08/31/2014,0.0556355,0.537377532
09/01/2014,0.034493925,0.582141769
09/02/2014,0.034217813,0.581557048
09/03/2014,0.052355103,0.53540808
09/04/2014,0.051261638,0.534751596
09/05/2014,0.050168172,0.534095112
09/06/2014,0.049074707,0.533438628
09/07/2014,0.047981241,0.532782143
09/08/2014,0.046887776,0.532125659
09/09/2014,0.045998395,0.531276986
09/10/2014,0.045558001,0.530005496
09/11/2014,0.045117607,0.528734007
09/12/2014,0.044677213,0.527462517
09/13/2014,0.043196437,0.53010577
09/14/2014,0.056697352,1.212599339
09/15/2014,0.028692093,0.54473146
09/16/2014,0.029613021,0.583737524
09/17/2014,0.030988268,0.571581823
09/18/2014,0.042034848,0.519833578
09/19/2014,0.041594454,0.518562089
09/20/2014,0.04115406,0.517290599
09/21/2014,0.040713666,0.516019109
09/22/2014,0.031165265,0.57036825
09/23/2014,0.047411547,0.929217623
09/24/2014,0.037172947,0.73958543
09/25/2014,0.032753155,0.549796189
09/26/2014,0.028770379,0.550059365
09/27/2014,0.036794109,0.713789464
09/28/2014,0.038160594,0.726995893
09/29/2014,0.03044523,0.565032218
09/30/2014,0.036750119,0.504575702
10/01/2014,0.036309725,0.503304212
10/02/2014,0.036095306,0.502418001
10/03/2014,0.036106862,0.501917068
10/04/2014,0.034103458,0.520772508
10/05/2014,0.03384928,0.523777548
10/06/2014,0.03543602,0.507805871
10/07/2014,0.036153085,0.499913338
10/08/2014,0.036164641,0.499412405
10/09/2014,0.036176197,0.498911473
10/10/2014,0.036187753,0.49841054
10/11/2014,0.036199308,0.497909608
10/12/2014,0.033044341,0.544774854
10/13/2014,0.03564545,0.505637144
10/14/2014,0.023104513,0.474649296
10/15/2014,0.025221662,0.484535276
10/16/2014,0.025538239,0.482887327
10/17/2014,0.033871476,0.548894635
10/18/2014,0.034248167,0.539015029
10/19/2014,0.036240549,0.519415371
10/20/2014,0.060917631,0.662137582
10/21/2014,0.049835073,0.583843444
10/22/2014,0.041010632,0.519048217
10/23/2014,0.030823358,0.522733267
10/24/2014,0.035392351,0.533591468
10/25/2014,0.036067118,0.516618919
10/26/2014,0.036237433,0.551884528
10/27/2014,0.03697528,0.501178717
10/28/2014,0.037328891,0.492817233
10/29/2014,0.0375935,0.493244701
10/30/2014,0.037858108,0.493672169
10/31/2014,0.038143551,0.496645745
11/01/2014,0.0701744,0.592275451
11/02/2014,0.067458171,0.572164774
11/03/2014,0.040277994,0.545858954
11/04/2014,0.039181153,0.49580951
11/05/2014,0.039565243,0.499776807
11/06/2014,0.039710371,0.496664447
11/07/2014,0.042453354,0.546530935
11/08/2014,0.039238632,0.523126926
11/09/2014,0.040871154,0.504414088
11/10/2014,0.040768806,0.49837432
11/11/2014,0.041033415,0.498801788
11/12/2014,0.041298024,0.499229256
11/13/2014,0.041562633,0.499656725
11/14/2014,0.041827242,0.500084193
11/15/2014,0.042091851,0.500511661
11/16/2014,0.032319119,0.456542202
11/17/2014,0.032020236,0.377679705
11/18/2014,0.032708321,0.402475474
11/19/2014,0.037999831,0.374150352
11/20/2014,0.034369896,0.419540089
11/21/2014,0.034347059,0.371893456
11/22/2014,0.048367121,0.525270905
11/23/2014,0.046747729,0.516346946
11/24/2014,0.0453212,0.510383368
11/25/2014,0.045693475,0.511575851
11/26/2014,0.04606575,0.512768334
11/27/2014,0.046438025,0.513960817
11/28/2014,0.046810299,0.515153301
11/29/2014,0.051832911,0.522816285
11/30/2014,0.047554849,0.517538267
12/01/2014,0.056605412,0.515157355
12/02/2014,0.052810664,0.522088901
12/03/2014,0.050189215,0.521441821
12/04/2014,0.049043948,0.5223082
12/05/2014,0.049416223,0.523500683
12/06/2014,0.049788498,0.524693166
12/07/2014,0.063181087,0.484379458
12/08/2014,0.06287047,0.493599066
12/09/2014,0.053633306,0.525317745
12/10/2014,0.051514365,0.529071495
12/11/2014,0.056860053,0.523044281
12/12/2014,0.058883426,0.520772635
12/13/2014,0.06131133,0.517369101
12/14/2014,0.061454098,0.439222096
12/15/2014,0.054489941,0.533191069
12/16/2014,0.055085057,0.534014984
12/17/2014,0.055680172,0.534838899
12/18/2014,0.056275287,0.535662814
12/19/2014,0.056870402,0.536486729
12/20/2014,0.057465518,0.537310644
12/21/2014,0.058060633,0.538134559
12/22/2014,0.06399339,0.523398393
12/23/2014,0.059250863,0.539782389
12/24/2014,0.059845979,0.540606304
12/25/2014,0.060441094,0.541430219
12/26/2014,0.082528863,0.390937122
12/27/2014,0.064146825,0.418173848
12/28/2014,0.062370421,0.426456385
12/29/2014,0.077151626,0.418072791
12/30/2014,0.069589223,0.435752349
12/31/2014,0.069363122,0.526521519
01/01/2015,0.064685423,0.546877936
01/02/2015,0.065594626,0.546423103
