Date,ddin,ddon,TEMP
04/28/2008,1.74801292,0.612162692,23.16666662
04/29/2008,1.725964775,0.610559456,23.38499996
04/30/2008,1.655322458,0.597768088,23.60333329
05/01/2008,1.631080681,0.595526358,23.82166663
05/02/2008,1.592632866,0.589920179,24.03999996
05/03/2008,1.522321929,0.576584784,24.25833329
05/04/2008,1.477005024,0.569026928,24.47666663
05/05/2008,1.472744133,0.571430461,24.69499996
05/06/2008,1.392557318,0.555038052,24.9133333
05/07/2008,1.452651083,0.57368325,25.13166663
05/08/2008,1.232633222,0.524136611,25.34999996
05/09/2008,0.980416018,0.449564376,25.5683333
05/10/2008,1.17544119,0.517070044,25.78666663
05/11/2008,1.455833994,0.590749223,26.00499997
05/12/2008,1.214721045,0.531672574,26.2233333
05/13/2008,1.207030702,0.532752351,26.44166663
05/14/2008,1.066895668,0.504409134,26.65999997
05/15/2008,1.189489892,0.535278322,26.8783333
05/16/2008,1.298642455,0.570288342,27.09666663
05/17/2008,1.199850754,0.546794512,27.31499997
05/18/2008,1.071450645,0.516139145,27.5333333
05/19/2008,0.992628112,0.501665651,27.75166664
05/20/2008,1.010860328,0.507714875,27.96999997
05/21/2008,0.777196653,0.462433095,28.01964283
05/22/2008,0.844513304,0.478634797,28.06928568
05/23/2008,0.870438779,0.486055032,28.11892854
05/24/2008,0.729066283,0.45687112,28.1685714
05/25/2008,0.875187565,0.490931589,28.21821425
05/26/2008,0.700642072,0.461414418,28.26785711
05/27/2008,0.647486524,0.420960029,28.31749997
05/28/2008,0.681256518,0.441706714,28.36714282
05/29/2008,0.69129639,0.46646329,28.41678568
05/30/2008,0.642487786,0.446412462,28.46642853
05/31/2008,0.561767815,0.418422869,28.51607139
06/01/2008,0.697258148,0.47201584,28.56571425
06/02/2008,0.635369822,0.464655213,28.6153571
06/03/2008,0.675174939,0.470893344,28.66499996
06/04/2008,0.698072145,0.47417606,28.71464282
06/05/2008,0.745110014,0.487078478,28.76428567
06/06/2008,0.712312553,0.481341401,28.81392853
06/07/2008,0.926273382,0.545264522,28.86357139
06/08/2008,0.966732538,0.557577295,28.91321424
06/09/2008,0.813943658,0.522252415,28.9628571
06/10/2008,0.502329669,0.455237949,29.01249996
06/11/2008,0.442889856,0.449786088,29.06214281
06/12/2008,0.643333341,0.475085927,29.11178567
06/13/2008,0.551859835,0.454550739,29.16142852
06/14/2008,0.60977571,0.467114297,29.21107138
